#Feature ID	taxonomy	Confidence
d93bdfa6c96a3b12e55b6c13c10c7154	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2; s__uncultured_forest	0.9720861803984657
a564cfbe5610a4a926577be45be5fb8d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia	0.9769376792204768
2e61494be988a94afe804e417e93b896	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2	0.9976992020207269
8ad1f801c23fd7a82b9f14894e9c49ce	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Granulicella	0.7235492043898852
52b93188bcb3ef926a2817ea9cfad0fc	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2; s__uncultured_forest	0.8596622348588714
841ee8da6b201f3c90a5ac731fbaac9e	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_Holophaga	0.9512221136574984
7b6f1775e2101f96e4ca58d4be786ff5	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2; s__uncultured_Acidobacteria	0.7046581756168261
4d2258f5cd36b5ce048b4e506028a9e7	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2; s__uncultured_forest	0.8254262987760314
8893c1df463762d7ba76fe679b34aa20	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured	0.9584773288366045
eec6c3bd2b5dfd1ebe9e41e8a76c3cee	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2	0.9913381726540759
80035bcd14facb1bfdf07e2136deca71	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia	0.9795848205886578
a35ef2cc02075e353ea02c6122af1031	d__Bacteria; p__WPS-2; c__WPS-2; o__WPS-2; f__WPS-2; g__WPS-2; s__uncultured_Firmicutes	0.9982659282625276
7625474a0492dbd53f19d1598e462fe8	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured	0.951527325551669
45a70ebe54ff1b420af8d34d9b26fbe3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia	0.9665683956230461
15ab02c7bf24a96fb8a0bbc7c8ffa56e	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	0.9963760923108343
